Nv1;Nv2;Nv3;Causa;Solucao
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	A parada do bag na bandeja do pivô está desajustada ou muito apertada para a contagem e o comprimento do stick sendo executado.
Problema Second Frame?;	Problemas de explosão de bags muito apertados;	;	;	Má qualidade das tampas da Conversion Press.
Problema Second Frame?;	Fraca colagem da costura do bag;	;	;	As costuras mal coladas no bag vazio podem explodir durante o carregamento. Todos os bags na gaveta da tremonha deve ser inspecionado se esta condição ocorrer.
Problema Second Frame?;	Falha na ventosa do bag vazio;	;	;	Verifique se o silencioso do gerador de vácuo está entupido com poeira de papel. Remover a poeira do silencioso ou o substitua.
Problema Second Frame?;	Falha na ventosa do bag vazio;	;	;	Verifique a haste da ventosa para certificar-se de que ela se move livremente no rolamento.
Problema Second Frame?;	Falha na ventosa do bag vazio;	;	;	Verifique a condição da mola de retorno para garantir que a haste retorne à sua posição estendida.
Problema Second Frame?;	Falha na ventosa do bag vazio;	;	;	Inspecione as ventosas quanto a rachaduras ou vazamentos. Substitua os ventosas conforme necessário.
Problema Second Frame?;	Posição incorreta de coleta do bag vazio;	;	;	Certifique-se de que os bags estejam carregadas com o recorte voltado para baixo para garantir a abertura e fixação adequadas com o dispositivo de ensacamento sistema.
Problema Second Frame?;	Clap do bag gasto ou desajustado;	;	;	O bloco de fixação de uretano deve ser ajustado para ser concêntrico à lâmina do funil de abertura. O bloco também deve ser ajustado para comprimir a lâmina em aproximadamente 1/16" para garantir que tenha a força de aperto adequada no saco para carregamento.
Problema Second Frame?;	Bag Stop Desajustado;	;	;	Quando os produtos são alterados, as variações do comprimento do stick mudam e a parada final da indexação pode ser necessário ajustar a bandeja do bag. Se a parada final for ajustada com falta de um stick, o bag torna-se comprimido resultando na explosão do bag. Verifique esta condição imediatamente após uma mudança de tipo de produto.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Alinhamento da bandeja do saco vazio com o funil de ensacamento.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Alinhamento da coleta e colocação de bags vazios nas gavetas de bags vazios.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Alinhamento do bag vazio, pegar e colocar acima da bandeja de indexação do bag.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Alinhamento das ventosas do abridor de bag inferior com as ventosas de saco superior
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste e alinhamento dos dedos (fingers) de dobra em relação aos reforços do bag e à profundidade eles fecham o bag após o enchimento.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste da bandeja de indexação do bag com travão traseiro carregado por mola na bolsa
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste da pinça de compressão nos grippers das tampas do bag.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Alinhamento da bandeja do bag indexador em sua posição abaixo do pick-and-place do bag cheio.
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste dos primeiros rolos de dobra para garantir um reforço devidamente vincado no bag cheio quando transição para a operação de dobramento
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste do segundo conjunto de dobra para as hastes das tampas
Problema Second Frame?;	Problemas de aba e dobra do bag aberta;	;	;	Ajuste dos suportes de aba para a dobra acabada
Problema Second Frame?;	Desalinhamento da bandeja de saco vazio do funil de ensacamento;	;	;	A bandeja do saco vazio e o funil de ensacamento devem estar alinhados e centrados um no outro.
Problema Second Frame?;	Desalinhamento do pick-and-place de bags vazios;	;	;	O pick-and-place do bag vazio deve ser alinhado às gavetas do bag vazio em cada uma de suas posições horizontais em cada gaveta de bags vazios. Verifique cada posição da gaveta para o alinhamento adequado e certifique-se de que as ventosas estão centralizadas nos bags na posição de levantamento.
Problema Second Frame?;	Desalinhamento de ventosas;	;	;	As ventosas do abridor de bags inferior devem ser alinhadas corretamente com a ventosa de sucção do bags superior. Os bags inferiores são colocados ligeiramente para trás em direção ao final do bag e devem ser espaçados uniformemente para o centro da ventosa superior.
Problema Second Frame?;	Desalinhamento dos dedos de dobra (finger tucks);	;	;	Os dedos de dobra devem ser centralizados nos reforços do bag na posição vertical. Os dedos devem ser centrados na extremidade quando na posição fechada e fechado no bag após o preenchimento. Observe o formato do bag para um bag dobrado aceitável.
Problema Second Frame?;	Desalinhamento da mola carregada da parada de bolsa;	;	;	Ajuste o batente traseiro com mola para compressão correta das tampas no bag após o processo de enchimento. A mola deve comprimir apenas ligeiramente no processo de enchimento. Sempre verifique o alinhamento ao mudar os tipos de produtos.
Problema Second Frame?;	Desalinhamento da garra (gripper) de compressão;	;	;	Ajuste a pinça (gripper) de compressão nas hastes das tampas do bag para ficar concêntrica com o diâmetro das tampas para garantir uma compressão uniforme na haste e fornecer um aperto firme nas tampas. A compressão irregular resultará em dobras ruins.
Problema Second Frame?;	Desalinhamento da bandeja do bag de indexação;	;	;	Alinhe a bandeja indexada do bag com o pick-and-place do bag cheio. A linha vermelha representa o alinhamento crítico. Consulte a seção de ajuste de posicionamento do servo para realinhar a cabeça do pick-and-place na bandeja indexadora do bag.
Problema Second Frame?;	Ajuste da primeira dobra do conjunto;	;	;	Ajuste o primeiro sistema de dobra para produzir uma dobra conforme mostrado na foto. O primeiro bloco de dobra é comprimido firmemente contra as tampas do bag.
Problema Second Frame?;	Ajuste da segunda dobra;	;	;	Ajuste o segundo sistema de dobra para produzir uma dobra conforme mostrado na foto. A rotação do mecanismo forma um ângulo de 90 graus para colocar a pressão adequada na cola.
Problema Second Frame?;	Problemas de colagem do bag;	;	;	O ajuste de temperatura no controlador do aquecedor está definido para a temperatura adequada
Problema Second Frame?;	Problemas de colagem do bag;	;	;	A posição da pistola de calor para o saco está definida para o ajuste adequado
Problema Second Frame?;	Problemas de colagem do bag;	;	;	O tempo de permanência da pistola de calor sob o saco não foi alterado no programa
Problema Second Frame?;	Problemas de colagem do bag;	;	;	A configuração da pressão do ar está definida para a pressão adequada
Problema Second Frame?;	Problemas de colagem do bag;	;	;	O controle do fluxo de ar está definido para configuração adequada
Problema Second Frame?;	Ajuste da pistola de calor;	;	;	Certifique-se de que o bico da ferramenta de ar quente (pistola de calor) esteja a 1-1 / 2” do bag. A distância adequada é fundamental para garantir o derretimento adequado da cola.
Problema Second Frame?;	Ajuste de pressão de ar da pistola de calor;	;	;	O regulador de pressão de ar que controla a função do fornecimento de ar da ferramenta de ar quente está localizado no segundo quadro da área pneumática. A pressão do ar deve ser ajustada para 4-5 PSI.
Problema Second Frame?;	Ajuste do fluxo de ar da pistola de calor;	;	;	O controle que regula o fluxo de ar através da ferramenta de ar quente está localizado no segundo quadro área de pneumática. Gire o botão no sentido horário para reduzir o fluxo de ar. Gire o botão no sentido anti-horário para aumentar o fluxo de ar. Fluxo de ar insuficiente pode resultar em superaquecimento da ferramenta elemento e causar uma falha.
Problema sistema de segurança?;	Problemas Relacionados à Partida ou Funcionamento no Modo Automático;	;	;	Todas as portas de proteção devem ser fechadas e cada chave de intertravamento de segurança acionada.
Problema sistema de segurança?;	Problemas Relacionados à Partida ou Funcionamento no Modo Automático;	;	;	Todos os botões de parada de emergência devem ser puxados para a posição OFF.
Problema Snake wrap?;	Tensionamento Snakewrap;	;	;	Muito ou pouco snake wrap por robô para configuração de palete atual sendo executado.
Problema Transportador?;	Problemas com a mesa de carga e elevador - Operação do transportador;	;	;	Verifique se as correias transportadoras estão danificadas.
Problema Transportador?;	Problemas com a mesa de carga e elevador - Operação do transportador;	;	;	Verifique se todas as guias ajustáveis estão apertadas e definidas corretamente.
Problema Transportador?;	Problemas com a mesa de carga e elevador - Operação do transportador;	;	;	Verifique a operação e o alinhamento de todos os olhos fotoelétricos e limpe as lentes.
