Nv1;Nv2;Causa;Solucao
Conformação superior/inferior;Variação na altura da borda;Resíduo de material estranho entre a matriz de corte e repuxo (Draw die) e o pistão superior (Die Center Punch);Remover a matriz de corte e repuxo e o pistão superior e limpar
Conformação inferior;Variação na altura da borda;Vedação do pistão inferior (Panel Punch Piston) está vazando.;Remover o pistão inferior e trocar as vedações
Conformação inferior;Variação na altura da borda;Linha de ar do pistão inferior está vazando.;Apertar as conexões ou trocar as mangueiras
Conformação inferior;Variação na altura da borda;Scrap resiudal entre o cut edge e o pistão inferior;Remover o conjunto e limpar o resíduo de scrap
Conformação inferior;Variação na altura da borda;Ângulo incorreto de corte (Cut edge) e a matriz de corte e repuxo;Remover a borda de corte e verificar se há arranhões ou desgastes ou problemas com as vedações. Substituir, se necessário.
Die;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;O Stripper Plate não está totalmente justo ao Stock Plate.;Verificar o aperto dos parafusos e também a planicidade (área de contato) entre eles
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;A pressão de ejeção da tampa (Shell) está incorreta.;Verificar e ajustar a pressão de ar da ejeção da tampa (Shell)
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Pressão baixa por vazamentos de ar na linha que alimenta o bloco de ejeção;Verificar o aperto ou trincas trocando, se necessário.
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Pressão de elevação da tampa (Shell) está incorreta.;Ajustar a pressão de ar para o valor de referência
Transporte;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Desalinhamento entre a saída da matriz e as guias do conveyor que levam as tampas (Shells) até o Curlers.;Verificar as condições dos chutes corrigindo, se necessário.
Conformação superior;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Pistão superior (Upper Piston) prendendo. (Tampa atrasada);Remover o pistão superior, polir e trocar as vedações
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Resíduo de material no orifício do ejetor da tampa (Shell);Remover o ejetor, desobstruir e limpar
Conformação inferior;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Vedação no punção do painel (Panel Punch) vazando, o ar escapa através das laterais da tampa (Shell);Remover o pistão do punção do painel e trocar as vedações
Transporte;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Saídas do ferramental (chutes) estão folgadas;Instalar parafusos novos nos chutes
Transporte;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Guias que levam as tampas (Shells) até o Curlers desajustadas;Ajustar as guias que levam as tampas (shells) até o Curlers
Indexação;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Falha na indexação da prensa;Verificar a indexação e refazer, se necessário
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Furo de elevação das tampas (Shells) estão entupidos;Remover o punção do painel e desbloquear os furos.
Pneumático;Problemas de ejeção de tampas (Shells), provocando Jams na saída do ferramental e atraso na entrada do Curler;Furo no nariz de ejeção (Eject Nozzle) desalinhado com o pocket.;Remover e limpar o furo de ejeção.
Conformação superior/inferior;Enrugamento na parede do Chuck da tampa (Shell);Altura incorreta do Pistão Superior (Upper Piston) em relação ao anel núcleo da matriz (Die Core Ring);Corrigir diminuindo a altura do espaçador do psitão superior para as dimensões corretas.
Conformação superior;Enrugamento na parede do Chuck da tampa (Shell);Ajuste da pressão do pistão superior (Upper Piston) do painel está muito alta;Ajustar a pressão de ar para o valor de referência
Die;Enrugamento na parede do Chuck da tampa (Shell);Sujeira acumulada no ferramental;Limpar o ferramental
Conformação superior;Enrugamento na parede do Chuck da tampa (Shell);Parafuso de fixação do espaçador do pistão superior folgado ou solto.;Fixar parafuso com a cola apropriada
Die;Enrugamento na parede do Chuck da tampa (Shell);Ferramenta travada;Desmontar, verificar as vedações e ajustar as ferramentas, se necessário
Transporte;Dupla tampa (Shell) causa JAM nas guias de transporte que alimentam o Curler;Tampa (Shell) sai atrasada;Verificar ítem do trobleshooting: Problemas de ejeção da tampa (Shell)
Conformação superior;Marcas no Countersink;Matriz central (Blank & Draw Die) com riscos no raio.;Trocar a matriz central
Conformação superior;Marcas no Countersink;Matriz central danificada.;Trocar a matriz central
Conformação superior/inferior;Marcas no painel;Ferramental riscado;Trocar o anel do núcleo da matriz
Conformação superior/inferior;Marcas no painel;Scrap preso na ferramentaria;Trocar o pistão superior
Conformação superior/inferior;Marcas no raio do recurvado;Risco no raio do anel do núcleo da matriz (Die Core Ring);Trocar o anel do núcleo da matriz
Conformação superior/inferior;Marcas no raio do recurvado;Risco no raio do pistão superior (Upper Piston;Trocar o pistão superior
Qualidade;Riscos na tampa;Verificar o material da chapa;Trocar a bobina, se necessário
Indexação;Riscos na tampa;Verificar rolos puxadores (Feed Roll);Limpar os rolos
Scrap;Riscos na tampa;Verificar scrap preso na calha;Limpar as calhas
Conformação inferior;Riscos na tampa;Verificar scrap preso no recurvador (Die core);Limpar o recurvador
Die;Sujidade;Sujeiras nas ferramentas inferiores e superiores;Limpar todas as ferramentas
Pneumático;Sujidade;Sujeiras nos aeorstackers e bandeiras;Limpar todos os aerostackers e bandeiras
Conformação inferior;Sujidade;Sujeiras nos recurvadores;Limpar recurvadores
Conformação superior;Diâmetro da tampa maior;Especificação incorreta da matriz de corte e repuxo (Blank & Draw Die);Trocar a matriz de corte e repuxo
Die;Diâmetro da tampa maior;Dimensionais da tampa estão baixos.;Verificar dimensões
Pneumático;Diâmetro da tampa maior;Pressão de ar do ferramental está baixa;Verificar pressão de ar na entrada das ferramentas, limpar o filtro, se necessário
Pneumático;Diâmetro da tampa menor;Pressão de ar do ferramental alta;Verificar pressões de ar e reduzir, se necessário.
Conformação superior;Diâmetro da tampa menor;Especificação errada da matriz de corte e repuxo (Blank & Draw Die).;Trocar a matriz de corte e repuxo pela matriz com as dimensões corretas.
Die;Atolamentos (Jams);Scrap preso nas ferramentas.;Limpar as ferramentas.
Die;Atolamentos (Jams);Fita correndo para as laterais da mesa.;Ajustar as guias da catenária e a pressão do feed roll.
Pneumático;Atolamentos (Jams);Vazamento de ar nas ferramentas.;Desmontar e trocar as vedações das ferramentas.
Pneumático;Atolamentos (Jams);Ejeção de tampas.;Verificar item: Problemas de ejeção. Verificar e ajustar a pressão de ejeção.
Die;Atolamentos (Jams);Ferramentas travadas.;Trocar as ferramentas, se necessário.
GFS/Die;Clip Out (Tampas cortadas);Alimentação não está alinhada ao ferramental (Die);Alinhar o sistema de alimentação.
GFS;Clip Out (Tampas cortadas);O Pinch Roll está desalinhado.;Alinhar o Pinch Roll.
GFS;Clip Out (Tampas cortadas);Alimentação da lâmina está dessincronizada.;Verificar e ajustar a alimentação.
Die;Clip Out (Tampas cortadas);A tampa não sai do pocket em tempo.;Verificar ítem: Falha na ejeção.
Conformação inferior;Clip Out (Tampas cortadas);Opistão inferior (Lower Piston) está acima está acima da Cut Edge.;Verificar dimensões de ambos.
Die;Clip Out (Tampas cortadas);Os parafusos de fixação estão protuberantes.;Verificar e corrigir.
Conformação superior;Clip Out (Tampas cortadas);Área de corte da matriz de corte está gasta.;Trocar as ferramentas.
Conformação inferior;Clip Out (Tampas cortadas);Punção de corte danificado.;Trocar as ferramentas.
GFS;Clip Out (Tampas cortadas);Acionamento da alimentação com problema.;Verificar a correia, o acoplamento e trocar a caixa, se necessário.
GFS;Clip Out (Tampas cortadas);Rolos de alimentação com problemas.;Verificar pressão e o estado da superfície dos rolos ajustando ou trocando, se necessário.
Conformação inferior;Fratura do painel;Raio do painel do punção (Punch Panel) muito pequeno.;Verificar e trocar ferramental.
Insumo;Fratura do painel;Espessura incorreta da chapa.;Verificar dimensões e trocar bobina.
Insumo;Fratura do painel;Material da chapa incorreto.;Verificar dimensões e trocar bobina.
Insumo;Fratura do painel;Lubrificação insuficiente da chapa.;Verificar a quantidade de lubrificante e corrigir.
Conformação superior;Fratura do painel;Ferramental (Die Center) quebrado.;Verificar e trocar ferramental.
Elétrico;O motor não dá partida;Falta de energia.;Ligar equipamento na chave geral.
Pneumático;O motor não dá partida;Baixa pressão de ar.;Verificar a pressão geral na entrada do equipamento.
Elétrico;O motor não dá partida;Dispositivo de travamento elétrico de emergência acionado.;Remover o dispostivo de bloqueio.
Elétrico;O motor não dá partida;Blocos de segurança do cabeçote fora dos respectivos alojamentos.;Remover o bloco de segurança.
Elétrico;O motor não dá partida;Falta de chapa protetora ou placa presa incorretamente.;Verificar a presença e a fixação, corrigindo se necessário.
Elétrico;O motor não dá partida;Chave ou motor com defeito.;Verificar e trocar a chave, se necessário.
Scrap;O motor dá partida, mas a prensa não opera em ciclos;Transportadora de scrap desativada.;Ativar o transportador.
Elétrico;O motor dá partida, mas a prensa não opera em ciclos;Sensor do giro da mesa do clico do Uncoiler ativado.;Verificar o sensor e reparar.
Comandos;O motor dá partida, mas a prensa não opera em ciclos;Jog ativado. Operação na posição gradual.;Desativar o modo Jog e colocar em modo operação.
Elétrico;O motor dá partida, mas a prensa não opera em ciclos;Válvula solenóide do conjunto freio/embreagem defeituosa.;Trocar a válvula.
Comandos;O motor dá partida, mas a prensa não opera em ciclos;Uncoiler desativado.;Ativar o Uncoiler.
Hidráulico;O motor dá partida, mas a prensa não opera em ciclos;Sistema hidráulico do freio/embreagem não atingiu a pressão correta.;Verificar a pressão e reparar o componente.
Scrap;A prensa não opera em Jog ativado ou curso único, mas não opera em modo automático;Sistema de transporte ou sucata desligado.;Ativar o transportador.
Transmissão;A prensa opera, mas não indexa ou alimenta o material.;Correia de temporização para alimentar o indexador frouxa ou rompida.;Verificar a correia, apertar ou trocar.
Pneumático;A prensa opera, mas não indexa ou alimenta o material.;Cilindros pneumáticos de alimentação abertos ou com pressão insuficiente.;Verificar vazamentos e testar a direcional.
Insumo;A prensa opera, mas não indexa ou alimenta o material.;Material desbobinado enjambrado ou colado.;Verificar e soltar o material.
Pneumático;A prensa opera, mas não indexa ou alimenta o material.;Cilindro pneumático defeituoso.;Trocar o cilindro.
Elétrico/Transmissão;Rolos de alimentação (Feed rolls) não giram.;Falha no motor elétrico.;Verificar e trocar o motor ou acoplamento.
Transmissão;Rolos de alimentação (Feed rolls) não giram.;Engrenagem está solta.;Fixar engrenagem.
Transmissão;Rolos de alimentação (Feed rolls) não giram.;Rolamento travado.;Trocar rolamento.
Pneumático;Pressão geral da máquina varia muito;Problema no fornecimento geral de ar da planta.;Verificar funcionamento dos compressores de ar.
Pneumático;Pressão geral da máquina varia muito;Problema com a válvula reguladora de pressão de entrada.;Ajudar e trocar, se necessário.
Pneumático;Pressão geral da máquina varia muito;Vazamentos nas linhas de ar.;Eliminar pontos de vazamento em em conexões e mangueiras danificadas.
Pneumático;Pressão geral da máquina varia muito;Filtro de ar sujo.;Trocar o filtro.
GFS;Morsa na folha de alumínio;Sujeira nos rolos (Feed rolls).;Limpar os rolos.
